id,title,content,keywords,publication_date,processed_text,ce_areas,ai_technologies,num_ce_tags,num_ai_tags
418,Digital Bridge 2025: Generative nation sets new technological agenda,"From October 2 to 4, Astana will host Digital Bridge 2025, the largest technology and AI forum in Central Eurasia, El.kz reports citing astanahub.kz.",bridge generative AI,2025-12-27,october astana host digital bridge 2025 largest technology forum central eurasia report citing astanahub,Transportation,"Generative Design, Artificial Intelligence",1,2
419,"Goodnotes Becomes First to Bridge Digital Ink and Generative AI, Closing a Major Productivity Gap","Goodnotes supports all natural human input methods, including handwriting, typing, sketching, and voice, while providing AI assistance that adapts to how people...",bridge generative AI,2025-12-27,goodnotes support natural human input method including handwriting typing sketching voice providing assistance adapts people,Transportation,"Generative Design, Artificial Intelligence",1,2
420,Kolmogorov-Arnold networks bridge AI and scientific discovery by increasing interpretability,"AI has successfully been applied in many areas of science, advancing technologies like weather prediction and protein folding. However, there have been...",bridge neural networks,2025-12-27,successfully applied many area science advancing technology like weather prediction protein folding however,Transportation,"Predictive Analytics, Artificial Intelligence",1,2
421,Optimization of cable tension in large-span cable-stayed bridges based on RBF neural network and improved sea-gull algorithm,"To enhance the reliability of cable force optimization in large-span cable-stayed bridges, this study presents a force optimization model that considers...",bridge neural networks,2025-12-27,enhance reliability cable force optimization large span cable stayed bridge study present force optimization model considers,Transportation,"Generative Design, Machine Learning",1,2
422,AI Model Restores Lost Bridge Data to Improve Structural Safety,"This study presents CCF-BiGRU, a deep learning model that enhances data recovery in structural health monitoring, ensuring the reliability of bridge...",bridge neural networks,2025-12-27,study present ccf bigru deep learning model enhances data recovery structural health monitoring ensuring reliability bridge,"Structural, Transportation, Construction Management","Machine Learning, Artificial Intelligence",3,2
423,Correlative voltage imaging and cryo-electron tomography bridge neuronal activity and molecular structure,Neurons exhibit varying electrophysiological properties due to dynamic changes in spatiotemporal molecular networks. In situ cryo-electron tomography...,bridge neural networks,2025-12-27,neuron exhibit varying electrophysiological property due dynamic change spatiotemporal molecular network situ cryo electron tomography,"Structural, Transportation",,2,0
424,Spatiotemporal dependency data imputation for long-term health monitoring of concrete arch bridges,The structural health monitoring of bridge infrastructures is imperative for ensuring their uninterrupted functionality and mitigating potential hazards.,bridge neural networks,2025-12-27,structural health monitoring bridge infrastructure imperative ensuring uninterrupted functionality mitigating potential hazard,"Structural, Transportation",,2,0
425,Neurosymbolic AI: Bridging Neural Networks and Symbolic Reasoning for Smarter Systems,"Neurosymbolic AI merges neural networks and symbolic reasoning, creating more powerful and interpretable AI systems for complex problem-solving and...",bridge neural networks,2025-12-27,neurosymbolic merges neural network symbolic reasoning creating powerful interpretable system complex problem solving,,"Machine Learning, Artificial Intelligence",0,2
426,'Bridge doctor' combines imaging and neural network analysis to efficiently evaluate structures' safety,"Newly published research that details how infrared thermography, high-definition imaging and neural network analysis can combine to make concrete bridge...",bridge neural networks,2025-12-27,newly published research detail infrared thermography high definition imaging neural network analysis combine make concrete bridge,"Structural, Transportation, Construction Management","Machine Learning, Artificial Intelligence",3,2
427,Australian study uses neural networks and AI algorithms to detect defects in bridges,Australian study uses neural networks and AI algorithms to detect defects in bridges ... An Australian university study has successfully used artificial...,bridge neural networks,2025-12-27,australian study neural network algorithm detect defect bridge australian university study successfully used artificial,Transportation,"Machine Learning, Artificial Intelligence",1,2
428,Bipedal Alpha robot seeks to bridge the industry skills shortage,"Humanoid, a U.K.-based startup, has announced the launch of its artificial intelligence (AI)-powered robot, which is capable of tackling both domestic and...",bridge robotics,2025-12-27,humanoid based startup announced launch artificial intelligence powered robot capable tackling domestic,Transportation,"Robotics/Automation, Artificial Intelligence",1,2
429,Building Bright Minds Through Biodiversity and Robotics (sponsored),"At the Brooklyn Preschool of Science, every discovery begins with curiosity. From exploring the vibrant world of living creatures to programming their first...",bridge robotics,2025-12-27,brooklyn preschool science every discovery begin curiosity exploring vibrant world living creature programming first,,Robotics/Automation,0,1
430,Bridge Summit: LimX Dynamics expects its advanced robotics pilots in Abu Dhabi to launch in 2026,"Jesse Liu, CFO & Director of Global Operations at China's LimX Dynamics, stated that the company's participation in Bridge Summit 2025 provided an...",bridge robotics,2025-12-27,jesse liu cfo director global operation china limx dynamic stated company participation bridge summit 2025 provided,Transportation,Robotics/Automation,1,1
431,"AI² Robotics Debuts GOVLA-Powered AlphaBot 2 at BRIDGE Summit, Redefining General-Purpose Robotics","PRNewswire/ -- At the world's largest media and creativity gathering, the BRIDGE Summit, China's embodied AI unicorn AI² Robotics unveiled its...",bridge robotics,2025-12-27,prnewswire world largest medium creativity gathering bridge summit china embodied unicorn robotics unveiled,Transportation,"Robotics/Automation, Artificial Intelligence",1,2
432,Robot drones to check underwater bridge condition: NFR,"Robot drones to check underwater bridge condition: NFR. The NFR oversees railway operations across parts of Northeast India and North Bengal, covering major...",bridge robotics,2025-12-27,robot drone check underwater bridge condition nfr nfr oversees railway operation across part northeast india north bengal covering major,Transportation,"Computer Vision, Robotics/Automation, Artificial Intelligence",1,3
433,Northeast Frontier Railway deploys underwater robots for enhanced bridge safety,"Guwahati, November 30 (IANS): The Northeast Frontier Railway (NFR) has successfully conducted extensive underwater and structural inspections of major...",bridge robotics,2025-12-27,guwahati november ians northeast frontier railway nfr successfully conducted extensive underwater structural inspection major,"Structural, Transportation, Construction Management","Robotics/Automation, Artificial Intelligence",3,2
434,Advantech and Lattice Drive Next-Gen Humanoid Robotics with NVIDIA HSB,"Advantech and Lattice collaborate to accelerate humanoid robotics using NVIDIA Holoscan Sensor Bridge, enabling low-latency sensor-to-AI processing for...",bridge robotics,2025-12-27,advantech lattice collaborate accelerate humanoid robotics using nvidia holoscan sensor bridge enabling low latency sensor processing,Transportation,"Robotics/Automation, Artificial Intelligence",1,2
435,Laptop control for MRMC robots with Flair Bridge launch,"Aiming to simplify workflows for freelance operators and production teams, the solution allows users to access MRMC rigs via their own laptops without...",bridge robotics,2025-12-27,aiming simplify workflow freelance operator production team solution allows user access mrmc rig via laptop without,Transportation,"Robotics/Automation, Artificial Intelligence",1,2
436,Can a robot bridge the gap between agriculture of Gen X and Gen Alpha in rural Georgia?,"A collaborative partnership between Jones and Georgia Tech created the Rural Computer Science Initiative, educating and training teachers across rural Georgia...",bridge robotics,2025-12-27,collaborative partnership jones georgia tech created rural computer science initiative educating training teacher across rural georgia,Transportation,"Robotics/Automation, Artificial Intelligence",1,2
437,"Kawada Technologies Leads Bridge Construction, Robotics, and Sustainable Infrastructure Innovation","From green steel bridges to rooftop greening systems, the company is pioneering solutions that address labor shortages, environmental goals and global...",bridge robotics,2025-12-27,green steel bridge rooftop greening system company pioneering solution address labor shortage environmental goal global,"Structural, Transportation, Environmental Engineering","Robotics/Automation, Artificial Intelligence",3,2
438,Will Thunder Bridge Capital Partners III Inc. Equity Warrant stock benefit from automation - July 2025 Outlook & Weekly Watchlist for Consistent Profits,Will Thunder Bridge Capital Partners III Inc. Equity Warrant stock benefit from automation ✌️【Smart Investing】✌️Start with $100 and earn up to 100% returns...,bridge automation,2025-12-27,thunder bridge capital partner iii inc equity warrant stock benefit automation smart investing start 100 earn 100 return,Transportation,Robotics/Automation,1,1
439,Ataccama & Cognizant speed up data migration with ONE Bridge,"Ataccama and Cognizant have launched ONE Bridge, an automation accelerator developed to help enterprises migrate from legacy data platforms up to 40% faster...",bridge automation,2025-12-27,ataccama cognizant launched one bridge automation accelerator developed help enterprise migrate legacy data platform faster,Transportation,Robotics/Automation,1,1
440,Inside a training center that's trying to bridge China's robotic skills gap,The school trains automation engineers for automated factories. China's manufacturing sector is desperate for skilled workers.,bridge automation,2025-12-27,school train automation engineer automated factory china manufacturing sector desperate skilled worker,Transportation,"Robotics/Automation, Artificial Intelligence",1,2
441,"BNSF: Fort Madison toll bridge to go cashless starting Dec. 1, 2025","The Fort Madison toll bridge will begin automation and stop accepting cash starting Dec. 1, 2025.According to a press release from BNSF on Monday,...",bridge automation,2025-12-27,fort madison toll bridge begin automation stop accepting cash starting dec 2025 press release bnsf monday,Transportation,Robotics/Automation,1,1
442,Bridge Alternatives’ partnership to automate fund calculations,"Under the agreement, Bridge will leverage Cascata's PE Suite, a digital platform built for fund accountants and operations teams. The platform automates how...",bridge automation,2025-12-27,agreement bridge leverage cascata suite digital platform built fund accountant operation team platform automates,Transportation,Robotics/Automation,1,1
443,"Amazon Plans to Replace Over 500,000 Jobs with Robots to Boost Automation","Amazon plans to replace more than half a million jobs in the U.S. with robots, aiming to automate around 75% of its operations by 2033 and save billions in...",bridge automation,2025-12-27,amazon plan replace half million job robot aiming automate around operation 2033 save billion,,"Robotics/Automation, Artificial Intelligence",0,2
444,ABB introduces Tropos 1410-DIN wireless bridge and mesh router,The Tropos 1410-DIN extends the functionality of Tropos mesh networks to devices where installation of standalone Tropos routers is impractical. Tropos mesh...,bridge automation,2025-12-27,tropos 1410 din extends functionality tropos mesh network device installation standalone tropos router impractical tropos mesh,Transportation,,1,0
445,China Deploys AI-Led High-Speed Rail Tunnel Engineering In One Of Its Most Challenging Terrains,A remote county in central China has become the testing ground for a groundbreaking experiment: using artificial intelligence to design and execute tunnel...,tunnel artificial intelligence,2025-12-27,remote county central china become testing ground groundbreaking experiment using artificial intelligence design execute tunnel,"Structural, Geotechnical",Artificial Intelligence,2,1
446,World's first AI-planned high-speed rail tunnel tested in China's Wufeng,"China AI Rail Tunnel: China is trialling an AI system that selects excavation methods for each section of a new high-speed rail tunnel in Wufeng,...",tunnel artificial intelligence,2025-12-27,china rail tunnel china trialling system selects excavation method section new high speed rail tunnel wufeng,Geotechnical,Artificial Intelligence,1,1
447,World first: AI tells humans how to build a high-speed rail tunnel in China,"The AI system behind the breakthrough, developed jointly by researchers from China Railway Siyuan, the National & Local Joint Engineering Research Centre of...",tunnel artificial intelligence,2025-12-27,system behind breakthrough developed jointly researcher china railway siyuan national local joint engineering research centre,Geotechnical,Artificial Intelligence,1,1
448,"2026 Watch List: The Candidates, the Wildcard, and the IPO Market’s Tunnel Vision",The 2025 initial public offering market was defined by a stark divergence: a welcome comeback year for new listings that instantly created clear winners and...,tunnel artificial intelligence,2025-12-27,2025 initial public offering market defined stark divergence welcome comeback year new listing instantly created clear winner,Geotechnical,,1,0
449,Hong Kong: Robotics And AI Enhance Tunnel Construction,Hong Kong: Robotics And AI Enhance Tunnel Construction ... Hong Kong's Civil Engineering and Development Department (CEDD) is in deploying smart technologies to...,tunnel artificial intelligence,2025-12-27,hong kong robotics enhance tunnel construction hong kong civil engineering development department cedd deploying smart technology,Geotechnical,"Robotics/Automation, Artificial Intelligence",1,2
450,CNBC Daily Open: Beware the tunnel vision on AI stocks,"AMD smashed expectations, and IBM impressed with cloud strength. Yet the Nasdaq fell, revealing Wall Street's playlist is stuck on one track: AI mania.",tunnel artificial intelligence,2025-12-27,amd smashed expectation ibm impressed cloud strength yet nasdaq fell revealing wall street playlist stuck one track mania,Geotechnical,Artificial Intelligence,1,1
451,"BJP dubs Bengaluru’s tunnel road ‘VIP project’,Shivakumar calls for constructive solutions","Bengaluru: Leader of opposition in the assembly, R Ashoka, and Bangalore South MP Tejaswi Surya Sunday led a protest near Lalbagh East Gate, launching.",tunnel artificial intelligence,2025-12-27,bengaluru leader opposition assembly ashoka bangalore south tejaswi surya sunday led protest near lalbagh east gate launching,"Geotechnical, Transportation",,2,0
452,"Dubai Police Launches AI-Equipped Mobile Patrols,Traffic Management and Biometric Security Tunnels","Dubai Police Launches AI-Equipped Mobile Patrols,Traffic Management and Biometric Security Tunnels In this groundbreaking video, we explore the Dubai...",tunnel artificial intelligence,2025-12-27,dubai police launch equipped mobile patrol traffic management biometric security tunnel groundbreaking video explore dubai,"Geotechnical, Transportation","Computer Vision, Artificial Intelligence",2,2
453,DCD showcases generative AI’s role in social development at Gitex 2025,Abu Dhabi: The Department of Community Development (DCD) in Abu Dhabi hosted a workshop titled “From Minimal Machine Learning to Generative AI” as part of...,tunnel artificial intelligence,2025-12-27,abu dhabi department community development dcd abu dhabi hosted workshop titled minimal machine learning generative part,,"Generative Design, Machine Learning, Artificial Intelligence",0,3
454,Dubai Police's AI-powered biometric tunnel identifies individuals by walking style,"Developed by Dubiometrics, the tunnel identifies people by analysing their walking style using artificial intelligence and machine learning. The system studies...",tunnel artificial intelligence,2025-12-27,developed dubiometrics tunnel identifies people analysing walking style using artificial intelligence machine learning system study,Geotechnical,"Machine Learning, Artificial Intelligence",1,2
455,Attention-based multi-agent reinforcement learning for traffic flow stability in mountainous tunnel entrances,"Wu et al. have proposed a multi-agent collaborative control method founded on deep reinforcement learning. This method optimizes vehicle speed and spacing,...",tunnel machine learning,2025-12-27,proposed multi agent collaborative control method founded deep reinforcement learning method optimizes vehicle speed spacing,"Geotechnical, Transportation","Generative Design, Machine Learning, Artificial Intelligence",2,3
456,Geological Risk Prediction Under Uncertainty in Tunnel Excavation Using Online Learning and Hidden Markov Model | Newswise,nan,tunnel machine learning,2025-12-27,,Geotechnical,"Predictive Analytics, Artificial Intelligence",1,2
457,Dubai Police unveil ‘Biometric Tunnel’,"At GITEX Global 2025, held at the Dubai World Trade Centre, the Dubai Police General Command unveiled the “Biometric Tunnel,” a DuBiometrics project. ...",tunnel machine learning,2025-12-27,gitex global 2025 held dubai world trade centre dubai police general command unveiled biometric tunnel dubiometrics project,Geotechnical,Artificial Intelligence,1,1
458,Biometric Tunnel unveiled in Dubai to identify suspects via walking style,"Dubai police have introduced an advanced Biometric Tunnel, a new system that identifies suspect by their walking style and body movements.",tunnel machine learning,2025-12-27,dubai police introduced advanced biometric tunnel new system identifies suspect walking style body movement,Geotechnical,Artificial Intelligence,1,1
459,Dubai Police unveils AI-powered biometric tunnel at GITEX 2025,Smart tunnel analyses walking patterns to create a motion fingerprint for identification.,tunnel machine learning,2025-12-27,smart tunnel analysis walking pattern create motion fingerprint identification,"Structural, Geotechnical",Artificial Intelligence,2,1
460,Dubai Police's biometric tunnel can now identify people by the way they walk,"The tunnel uses artificial intelligence and machine learning to analyse detailed body movements, including joint motion, walking rhythm, and individual...",tunnel machine learning,2025-12-27,tunnel artificial intelligence machine learning analyse detailed body movement including joint motion walking rhythm individual,Geotechnical,"Machine Learning, Artificial Intelligence",1,2
461,Deep Learning Based Shield Tunnel Leakage Detection | Newswise,nan,tunnel machine learning,2025-12-27,,Geotechnical,Machine Learning,1,1
462,Machine Learning Learns Minimal Representations of Quantum Many-Body Physics from Tunnel-Coupled Bose Gas Snapshots,"Researchers successfully employed a machine learning technique to interpret complex data from quantum simulators, revealing previously hidden details of...",tunnel machine learning,2025-12-27,researcher successfully employed machine learning technique interpret complex data quantum simulator revealing previously hidden detail,Geotechnical,"Machine Learning, Artificial Intelligence",1,2
463,Geological risk prediction under uncertainty in tunnel excavation using online learning and hidden Markov model | Newswise,nan,tunnel machine learning,2025-12-27,,Geotechnical,"Predictive Analytics, Artificial Intelligence",1,2
464,Subterranean Operations: Israeli Defense Force Lessons from Gaza,This paper explores the IDF experience dealing with the subterranean threat in Gaza and the lessons and best practices that may apply to the U.S. Army.,tunnel machine learning,2025-12-27,paper explores idf experience dealing subterranean threat gaza lesson best practice apply army,,,0,0
465,How to actually use AI in your carwash today,"Practical ways carwash operators are using AI today to improve customer service, safety, marketing and operational efficiency.",tunnel computer vision,2025-12-27,practical way carwash operator using today improve customer service safety marketing operational efficiency,Construction Management,Artificial Intelligence,1,1
466,Electromagnetic wave propagation in a rectangular metro tunnel using UWB and slot antennas,This study investigates the propagation characteristics of electromagnetic (EM) waves radiated by Ultra-Wideband (UWB) and slot antennas inside a closed...,tunnel computer vision,2025-12-27,study investigates propagation characteristic electromagnetic wave radiated ultra wideband uwb slot antenna inside closed,Geotechnical,,1,0
467,Working-at-high operation safety protection recognition based on target detection and spatial relationship,Construction workers of long tunnel projects are confronted with numerous safety hazards such as fall from height (FFH) and object strike due to the harsh...,tunnel computer vision,2025-12-27,construction worker long tunnel project confronted numerous safety hazard fall height ffh object strike due harsh,"Geotechnical, Construction Management",,2,0
468,Discoveries that enabled quantum computers win the Nobel Prize in physics,"In the 1980s, John Clarke, Michel Devoret and John Martinis demonstrated quantum effects in an electric circuit, an advance that underlies today's quantum...",tunnel computer vision,2025-12-27,1980s john clarke michel devoret john martini demonstrated quantum effect electric circuit advance underlies today quantum,,,0,0
469,Quantum tunneling mystery solved after 100 years—and it involves a surprise collision,"Date: July 28, 2025; Source: Pohang University of Science & Technology (POSTECH); Summary: For the first time ever, scientists have watched electrons...",tunnel computer vision,2025-12-27,date july 2025 source pohang university science technology postech summary first time ever scientist watched electron,Geotechnical,,1,0
470,Tunnel Vision: This Brilliant Engineer Is Making Robots That Can Be Trusted to Work Remotely,"Like many science-obsessed kids in the 1990s, William Tan wanted to be an astronaut when he grew up. Then came a reality check.",tunnel computer vision,2025-12-27,like many science obsessed kid 1990s william tan wanted astronaut grew came reality check,Geotechnical,Robotics/Automation,1,1
471,Research on lightweight tunnel cable fire recognition algorithm based on multi-scale features,"Currently, tunnel fire detection faces challenges such as slow response times, high false alarm rates, and poor timeliness. With the rapid development of...",tunnel computer vision,2025-12-27,currently tunnel fire detection face challenge slow response time high false alarm rate poor timeliness rapid development,Geotechnical,Machine Learning,1,1
472,"Tunnel vision sparks turf war between Kumaraswamy, Shivakumar over Bengaluru’s future",Bengaluru: The political rivalry between deputy CM DK Shivakumar and Union minister HD Kumaraswamy of JD(S) has spilled into Bengaluru's infrastructur.,tunnel computer vision,2025-12-27,bengaluru political rivalry deputy shivakumar union minister kumaraswamy spilled bengaluru infrastructur,Geotechnical,,1,0
473,Voltage controlled magnetic tunnel junction based ADC less processing-in-pixel for extreme edge intelligence,The growing data generated by camera sensors has driven the need for energy-efficient solutions to deploy computer vision tasks on edge devices.,tunnel computer vision,2025-12-27,growing data generated camera sensor driven need energy efficient solution deploy computer vision task edge device,Geotechnical,Computer Vision,1,1
474,How Nietzsche and God helped Israeli hostages survive in the tunnels of Gaza,"For dozens of Israeli hostages taken during Hamas's brutal October 7, 2023, attack, survival meant something more than physical endurance.",tunnel computer vision,2025-12-27,dozen israeli hostage taken hamas brutal october 2023 attack survival meant something physical endurance,Geotechnical,,1,0
475,"Update – Now extinguished: Car on fire in Markusberg Tunnel on A13, one lane open in both directions","On the A13 in the southeast of the country, there was a car on fire in the Markusberg tunnel, traffic was temporarily closed in both directions.",tunnel generative AI,2025-12-27,a13 southeast country car fire markusberg tunnel traffic temporarily closed direction,"Geotechnical, Transportation",,2,0
476,"With def min nod, Sitabuldi tunnel has all 13 approvals: Metro tells HC",Nagpur: The MahaMetro on Wednesday informed the Bombay high court's Nagpur bench that defence ministry granted clearance for the proposed underground .,tunnel generative AI,2025-12-27,nagpur mahametro wednesday informed bombay high court nagpur bench defence ministry granted clearance proposed underground,Geotechnical,,1,0
477,Work halted at HP’s Bhattakuffer twin tube tunnel after landslide concerns,"Shimla: Taking precautionary measures after landslide on the Mehli-Bhattakuffer–Dhalli road, Shimla district magistrate Anupam Kashyap has ordered an .",tunnel generative AI,2025-12-27,shimla taking precautionary measure landslide mehli bhattakuffer dhalli road shimla district magistrate anupam kashyap ordered,"Geotechnical, Transportation",Machine Learning,2,1
478,AI-driven RFID expansion at ShinWon,"ShinWon Corporation has announced a worldwide expansion of its self-developed RFID Tunnel System, aiming to eliminate packaging errors and deliver full...",tunnel generative AI,2025-12-27,shinwon corporation announced worldwide expansion self developed rfid tunnel system aiming eliminate packaging error deliver full,Geotechnical,Artificial Intelligence,1,1
479,2 bikers killedin Ghat ki Gunitunnel accident | Jaipur News - The Times of India,Jaipur: Two persons died on the spot in a horrific road accident inside the Ghat ki Guni tunnel on Agra Road Sunday morning after losing control of th.,tunnel generative AI,2025-12-27,jaipur two person died spot horrific road accident inside ghat guni tunnel agra road sunday morning losing control,"Geotechnical, Transportation",Artificial Intelligence,2,1
480,"Police, NHAI plan to curb speed of heavy vehicles at Shindewadi end of New Katraj Tunnel","Pune: Close on the heels of the Navale Bridge tragedy, NHAI and the police department are set to reduce the speed of heavy vehicles at the Shindewadi .",tunnel generative AI,2025-12-27,pune close heel navale bridge tragedy nhai police department set reduce speed heavy vehicle shindewadi,"Geotechnical, Transportation",Artificial Intelligence,2,1
481,World first: AI tells humans how to build a high-speed rail tunnel in China,"Machines trained in complex mountain data carefully navigate fault lines, fractures, caves and sinkholes to pick the best excavation method.",tunnel generative AI,2025-12-27,machine trained complex mountain data carefully navigate fault line fracture cave sinkhole pick best excavation method,Geotechnical,Artificial Intelligence,1,1
482,"Opposition, activists protest tunnel road in Bengaluru, flag green risks","Bengaluru: Several students, environmentalists, and young activists staged a demonstration inside Lalbagh Botanical Garden Saturday, opposing the prop.",tunnel generative AI,2025-12-27,bengaluru several student environmentalist young activist staged demonstration inside lalbagh botanical garden saturday opposing prop,"Geotechnical, Transportation, Environmental Engineering",,3,0
483,Mumbai: Labourer dies during excavation inside tunnel,"Mumbai: A 36-year-old labourer was killed during excavation work in an underground tunnel for a nullah at Malad West on Thursday. Chaitanya Mahali, th.",tunnel generative AI,2025-12-27,mumbai year old labourer killed excavation work underground tunnel nullah malad west thursday chaitanya mahali,Geotechnical,Artificial Intelligence,1,1
484,"Four firms submit bids for tunnel road project in Bengaluru, evaluation on","Bengaluru: The govt's tunnel road project, aimed at easing chronic congestion along the north-south corridor, has entered a decisive phase: four firms.",tunnel generative AI,2025-12-27,bengaluru govt tunnel road project aimed easing chronic congestion along north south corridor entered decisive phase four firm,"Geotechnical, Transportation",Artificial Intelligence,2,1
485,Geological Risk Prediction Under Uncertainty in Tunnel Excavation Using Online Learning and Hidden Markov Model | Newswise,nan,tunnel neural networks,2025-12-27,,Geotechnical,"Predictive Analytics, Artificial Intelligence",1,2
486,Obstacle avoidance inspection method of cable tunnel for quadruped robot based on particle swarm algorithm and neural network,"The cable tunnel environment is characterized by its narrow confines and the presence of numerous irregularly placed obstacles such as pipes and supports,...",tunnel neural networks,2025-12-27,cable tunnel environment characterized narrow confines presence numerous irregularly placed obstacle pipe support,Geotechnical,"Robotics/Automation, Machine Learning",1,2
487,A Mysterious Web of Tunnels Connects Brain Cells—Like the Network of Trees in a Forest,The 'fourth pillar' of brain communication potentially impacts Alzheimer's and other diseases.,tunnel neural networks,2025-12-27,fourth pillar brain communication potentially impact alzheimer disease,Geotechnical,Artificial Intelligence,1,1
488,Geological risk prediction under uncertainty in tunnel excavation using online learning and hidden Markov model,"Sparse early-stage data limits accurate geological risk assessment, increasing the chance of undetected hazards ahead of the TBM.",tunnel neural networks,2025-12-27,sparse early stage data limit accurate geological risk assessment increasing chance undetected hazard ahead tbm,Geotechnical,"Predictive Analytics, Artificial Intelligence",1,2
489,Magnetic tunnel junctions driven by hybrid optical-electrical signals as a flexible neuromorphic computing platform,"Magnetic tunnel junctions (MTJs) offer a promising pathway toward energy-efficient neuromorphic computing due to their nanoscale footprint,...",tunnel neural networks,2025-12-27,magnetic tunnel junction mtjs offer promising pathway toward energy efficient neuromorphic computing due nanoscale footprint,Geotechnical,,1,0
490,Neuromorphic Hebbian learning with magnetic tunnel junction synapses | Communications Engineering,Neuromorphic computing aims to mimic both the function and structure of biological neural networks to provide artificial intelligence with extreme...,tunnel neural networks,2025-12-27,neuromorphic computing aim mimic function structure biological neural network provide artificial intelligence extreme,"Structural, Geotechnical","Machine Learning, Artificial Intelligence",2,2
491,Resonant Tunneling Diodes Replicate Neuronal Spiking for Opto-electronic Neuromorphic Computing,"Researchers successfully demonstrate that resonant tunnelling diodes, triggered by light, can function as remarkably efficient and fast-acting artificial...",tunnel neural networks,2025-12-27,researcher successfully demonstrate resonant tunnelling diode triggered light function remarkably efficient fast acting artificial,Geotechnical,,1,0
492,Research on lightweight tunnel cable fire recognition algorithm based on multi-scale features,"Currently, tunnel fire detection faces challenges such as slow response times, high false alarm rates, and poor timeliness. With the rapid development of...",tunnel neural networks,2025-12-27,currently tunnel fire detection face challenge slow response time high false alarm rate poor timeliness rapid development,Geotechnical,Machine Learning,1,1
493,Structural health monitoring and evaluation method for an immersed tunnel based on deep learning,The health monitoring of the subsea-immersed tunnels is essential for the early detection of anomalies and the assurance of their long-term operational...,tunnel neural networks,2025-12-27,health monitoring subsea immersed tunnel essential early detection anomaly assurance long term operational,"Structural, Geotechnical",Machine Learning,2,1
494,Deep learning driven prediction and comparative study of surrounding rock deformation in high speed railway tunnels,"To tackle the challenge of discrete and complex monitoring data generated during high-speed rail tunnel construction, this study proposes a hybrid deep...",tunnel neural networks,2025-12-27,tackle challenge discrete complex monitoring data generated high speed rail tunnel construction study proposes hybrid deep,Geotechnical,"Predictive Analytics, Machine Learning, Artificial Intelligence",1,3
495,Why ShinWon is Rolling Out Automated RFID Scanning Systems Across its Factories,"Developed in house, ShinWon's tunnel system will allow it to check the accuracy of 100 percent of the orders leaving its factories.",tunnel automation,2025-12-27,developed house shinwon tunnel system allow check accuracy 100 percent order leaving factory,Geotechnical,Robotics/Automation,1,1
496,No New Tunnel Downtown? Sound Transit Explores Ballard Link Alternatives,"Earlier this year, Sound Transit revealed updated cost estimates for its major ST3 projects totalling $14 to $20 billion (in 2025 dollars) more than its...",tunnel automation,2025-12-27,earlier year sound transit revealed updated cost estimate major st3 project totalling billion 2025 dollar,Geotechnical,,1,0
497,Hong Kong: Robotics And AI Enhance Tunnel Construction,"Hong Kong's Civil Engineering and Development Department is using AI and robotics to enhance efficiency, safety, and precision in tunnel construction and...",tunnel automation,2025-12-27,hong kong civil engineering development department using robotics enhance efficiency safety precision tunnel construction,"Geotechnical, Construction Management","Robotics/Automation, Artificial Intelligence",2,2
498,ÖBB: Railway tunnels in top condition thanks to innovative technology,High degree of automation in tunnel drainage maintenance Significant reduction in track closures Start in the Granitztal Tunnel along the new Koralmbahn...,tunnel automation,2025-12-27,high degree automation tunnel drainage maintenance significant reduction track closure start granitztal tunnel along new koralmbahn,Geotechnical,"Robotics/Automation, Artificial Intelligence",1,2
499,Trimble: Smart Automation for Big Data,Use of GEDO trolley for slab adjustment: The Trimble GEDO trolley was used in Gotthard Base Tunnel for final slab adjustment in mm level accuracy.,tunnel automation,2025-12-27,use gedo trolley slab adjustment trimble gedo trolley used gotthard base tunnel final slab adjustment level accuracy,Geotechnical,Robotics/Automation,1,1
500,Drinktec 2025 live: Krones highlights new tunnel pasteurizer for cans,"At the ongoing Drinktec trade show in Munich, Germany, Packaging Insights speaks to Niels Clausen, technical product manager at Krones.",tunnel automation,2025-12-27,ongoing drinktec trade show munich germany packaging insight speaks niels clausen technical product manager krone,Geotechnical,,1,0
501,Future of Tunnel Automation Industry Sector Booming in United,"Key Players: Siemens AG, Johnson Controls, ABB, Honeywell International Inc., Philips Lighting, Eaton, Osram, Delta Electronics, Inc., SAGE Automation and...",tunnel automation,2025-12-27,key player siemens johnson control abb honeywell international inc philip lighting eaton osram delta electronics inc sage automation,Geotechnical,Robotics/Automation,1,1
502,"Tunnel and Metro Market Share: In-Depth Analysis, Growth Opportunities, Key Trends, and Forecast till 2033","Press release - Orion Market Research - Tunnel and Metro Market Share: In-Depth Analysis, Growth Opportunities, Key Trends, and Forecast till 2033...",tunnel automation,2025-12-27,press release orion market research tunnel metro market share depth analysis growth opportunity key trend forecast till 2033,"Structural, Geotechnical",Predictive Analytics,2,1
503,Boring Company Tests Tesla FSD in Vegas Loop Tunnels for Automation,"In the subterranean network beneath Las Vegas, Elon Musk's The Boring Company has begun testing Tesla's Full Self-Driving (FSD) technology,...",tunnel automation,2025-12-27,subterranean network beneath vega elon musk boring company begun testing tesla full self driving fsd technology,Geotechnical,Robotics/Automation,1,1
